timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666021642023,3549,OrangeLive,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,3638691,4075,16,16,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,665,0,503
1666021642023,665,OrangeLive-0,302,Found,jp@gc - Ultimate Thread Group 1-30,text,true,,1054,515,16,16,https://opensource-demo.orangehrmlive.com/,665,0,503
1666021642689,337,OrangeLive-1,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,4419,539,16,16,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,336,0,0
1666021643028,687,OrangeLive-2,200,OK,jp@gc - Ultimate Thread Group 1-30,bin,true,,1674,601,16,16,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,686,0,521
1666021643028,1707,OrangeLive-3,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,522300,611,16,16,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,856,0,515
1666021643028,1192,OrangeLive-4,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,489143,601,16,16,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,336,0,0
1666021643028,2366,OrangeLive-5,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,1160473,609,16,16,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,885,0,538
1666021643028,2544,OrangeLive-6,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,1459628,599,16,16,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,888,0,535
1666021645574,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,419,0,16,16,null,0,0,0
1666021642016,3549,Home,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-30,,true,,3639110,4075,16,16,null,665,9,503
1666021642023,3692,OrangeLive,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,3638695,4075,16,16,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,660,0,497
1666021642023,660,OrangeLive-0,302,Found,jp@gc - Ultimate Thread Group 1-10,text,true,,1054,515,16,16,https://opensource-demo.orangehrmlive.com/,660,0,497
1666021642683,334,OrangeLive-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,4423,539,16,16,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,334,0,0
1666021643023,676,OrangeLive-2,200,OK,jp@gc - Ultimate Thread Group 1-10,bin,true,,1674,601,16,16,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,676,0,505
